STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/4/14,0,5.9,0,29,8,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/5/14,0.14,3.9,0,40,27,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/6/14,0.36,1.2,0,55,19,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/7/14,0,0,0,19,4,13.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/8/14,0,0,0,22,9,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/9/14,0,0,0,32,22,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/10/14,0.11,0,0,37,30,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/11/14,0.5,0,0,58,37,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/12/14,0.05,0,0,54,38,8.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/13/14,0,0,0,51,37,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/14/14,0.38,0,0,52,44,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/15/14,0,0,0,47,39,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/16/14,0,0,0,42,36,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/17/14,0,0,0,44,33,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/18/14,0.07,0,0,41,29,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/19/14,0,0,0,38,24,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/20/14,0,0,0,46,31,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/21/14,0.46,0,11,31,11,10.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/22/14,0.02,11,0.5,17,5,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/23/14,0,7.1,0,20,7,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/24/14,0,5.9,0,20,10,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/25/14,0.04,3.9,1,28,19,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/26/14,0,3.9,0,34,17,7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/27/14,0,3.1,0,44,21,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/28/14,0,1.2,0,21,12,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/29/14,0.04,2,0.8,23,14,6.5
